選手,左右,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
大田 泰示,右,北海道日本ハムファイターズ,104,429,383,56,105,22,4,14,177,59,3,4,0,1,38,0,7,103,11,0.274,0.462,0.35
岡 大海,右,北海道日本ハムファイターズ,28,60,52,11,8,3,0,0,11,7,5,0,2,0,4,0,2,12,3,0.154,0.212,0.241
鍵谷 陽平,右,北海道日本ハムファイターズ,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加藤 貴之,左,北海道日本ハムファイターズ,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
北浦 竜次,左,北海道日本ハムファイターズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清宮 幸太郎,左,北海道日本ハムファイターズ,53,180,160,17,32,4,2,7,61,18,0,0,0,1,16,2,3,60,1,0.2,0.381,0.283
公文 克彦,左,北海道日本ハムファイターズ,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒羽根 利規,右,北海道日本ハムファイターズ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
近藤 健介,左,北海道日本ハムファイターズ,129,555,462,59,149,29,3,9,211,69,5,0,0,5,87,8,1,90,16,0.323,0.457,0.427
斎藤 佑樹,右,北海道日本ハムファイターズ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
實松 一成,右,北海道日本ハムファイターズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水 優心,右,北海道日本ハムファイターズ,86,242,200,25,43,7,0,7,71,21,0,1,20,1,18,0,3,51,4,0.215,0.355,0.288
杉浦 稔大,右,北海道日本ハムファイターズ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
杉谷 拳士,右,北海道日本ハムファイターズ,70,130,104,17,24,4,0,3,37,9,4,2,6,2,12,0,6,20,2,0.231,0.356,0.339
高梨 裕稔,右,北海道日本ハムファイターズ,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
立田 将太,右,北海道日本ハムファイターズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
田中 賢介,左,北海道日本ハムファイターズ,67,124,105,12,31,3,0,0,34,8,0,1,1,0,18,1,0,14,0,0.295,0.324,0.398
田中 豊樹,右,北海道日本ハムファイターズ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
谷口 雄也,左,北海道日本ハムファイターズ,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
玉井 大翔,右,北海道日本ハムファイターズ,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鶴岡 慎也,右,北海道日本ハムファイターズ,101,260,239,13,58,9,0,2,73,22,1,1,4,0,14,0,3,45,5,0.243,0.305,0.293
トンキン,右,北海道日本ハムファイターズ,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中島 卓也,左,北海道日本ハムファイターズ,132,449,391,57,102,11,3,1,122,23,29,5,22,1,35,0,0,88,4,0.261,0.312,0.321
中田 翔,右,北海道日本ハムファイターズ,140,599,540,61,143,32,0,25,250,106,0,1,0,13,43,1,3,81,24,0.265,0.463,0.316
西川 遥輝,左,北海道日本ハムファイターズ,140,636,528,90,147,25,6,10,214,48,44,3,7,2,96,1,3,103,1,0.278,0.405,0.391
西村 天裕,右,北海道日本ハムファイターズ,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白村 明弘,左,北海道日本ハムファイターズ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
姫野 優也,右,北海道日本ハムファイターズ,2,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0.2
平沼 翔太,左,北海道日本ハムファイターズ,7,9,9,0,3,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0.333,0.444,0.333
藤岡 貴裕,左,北海道日本ハムファイターズ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堀 瑞輝,左,北海道日本ハムファイターズ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マルティネス,左,北海道日本ハムファイターズ,25,8,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0.143
松本 剛,右,北海道日本ハムファイターズ,54,139,126,18,28,5,1,1,38,9,2,1,5,1,6,0,1,14,5,0.222,0.302,0.261
宮台 康平,左,北海道日本ハムファイターズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮西 尚生,左,北海道日本ハムファイターズ,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
村田 透,左,北海道日本ハムファイターズ,18,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.2,0.2,0.2
矢野 謙次,右,北海道日本ハムファイターズ,19,19,17,2,4,0,0,0,4,1,0,0,0,0,1,0,1,4,0,0.235,0.235,0.316
横尾 俊建,右,北海道日本ハムファイターズ,74,210,193,18,40,2,0,9,69,24,0,1,2,2,9,0,4,45,5,0.207,0.358,0.255
吉田 侑樹,右,北海道日本ハムファイターズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レアード,右,北海道日本ハムファイターズ,120,505,450,47,105,14,2,26,201,65,0,1,0,4,44,5,7,124,10,0.233,0.447,0.309
ロドリゲス,右,北海道日本ハムファイターズ,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡邉 諒,右,北海道日本ハムファイターズ,60,183,161,17,39,7,0,7,67,14,1,0,8,1,11,0,2,43,7,0.242,0.416,0.297
阿部 和成,右,千葉ロッテマリーンズ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有吉 優樹,右,千葉ロッテマリーンズ,29,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
石川 歩,右,千葉ロッテマリーンズ,21,8,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0.167,0.167,0.167
伊志嶺 翔大,右,千葉ロッテマリーンズ,18,57,46,8,13,2,0,0,15,2,1,2,3,0,6,0,2,10,0,0.283,0.326,0.389
井上 晴哉,右,千葉ロッテマリーンズ,133,548,476,59,139,26,2,24,241,99,1,0,0,6,63,0,3,106,7,0.292,0.506,0.374
岩下 大輝,右,千葉ロッテマリーンズ,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
内 竜也,右,千葉ロッテマリーンズ,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江村 直也,右,千葉ロッテマリーンズ,35,18,16,0,1,0,0,0,1,0,0,0,1,0,1,0,0,5,1,0.063,0.063,0.118
オルモス,左,千葉ロッテマリーンズ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大木 貴将,左,千葉ロッテマリーンズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大谷 智久,右,千葉ロッテマリーンズ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大隣 憲司,左,千葉ロッテマリーンズ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大嶺 翔太,右,千葉ロッテマリーンズ,10,18,17,5,5,0,0,0,5,0,1,0,0,0,1,0,0,8,0,0.294,0.294,0.333
岡 大海,右,千葉ロッテマリーンズ,51,166,142,19,29,5,0,3,43,13,7,2,2,2,15,0,5,30,3,0.204,0.303,0.299
岡田 幸文,左,千葉ロッテマリーンズ,55,18,14,5,3,0,0,0,3,0,5,5,2,0,2,0,0,2,1,0.214,0.214,0.313
荻野 貴司,右,千葉ロッテマリーンズ,78,351,317,52,91,15,3,2,118,25,20,6,9,3,13,0,9,25,6,0.287,0.372,0.33
柿沼 友哉,右,千葉ロッテマリーンズ,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
角中 勝也,左,千葉ロッテマリーンズ,112,470,411,44,109,23,2,7,157,57,3,3,0,6,48,2,5,63,9,0.265,0.382,0.345
加藤 翔平,右,千葉ロッテマリーンズ,69,132,121,12,28,6,2,0,38,9,7,0,4,1,5,0,1,25,3,0.231,0.314,0.266
金澤 岳,左,千葉ロッテマリーンズ,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
唐川 侑己,右,千葉ロッテマリーンズ,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清田 育宏,右,千葉ロッテマリーンズ,96,303,261,18,59,10,1,2,77,27,2,2,6,4,32,3,0,63,8,0.226,0.295,0.306
酒居 知史,右,千葉ロッテマリーンズ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シェッパーズ,右,千葉ロッテマリーンズ,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菅野 剛士,左,千葉ロッテマリーンズ,53,161,131,15,23,3,2,2,36,18,1,0,4,1,20,0,5,27,4,0.176,0.275,0.306
鈴木 大地,左,千葉ロッテマリーンズ,143,558,477,44,127,27,6,8,190,49,8,4,14,6,44,2,17,55,11,0.266,0.398,0.346
関谷 亮太,右,千葉ロッテマリーンズ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高野 圭佑,右,千葉ロッテマリーンズ,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
髙濱 卓也,左,千葉ロッテマリーンズ,10,12,12,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25
田中 靖洋,右,千葉ロッテマリーンズ,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
種市 篤暉,右,千葉ロッテマリーンズ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
田村 龍弘,右,千葉ロッテマリーンズ,143,476,415,32,99,14,7,3,136,35,3,3,16,2,40,1,3,68,13,0.239,0.328,0.309
チェン・グァンユウ,左,千葉ロッテマリーンズ,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドミンゲス,右,千葉ロッテマリーンズ,37,93,84,11,16,4,0,7,41,16,0,0,0,0,6,0,3,18,0,0.19,0.488,0.269
東條 大樹,右,千葉ロッテマリーンズ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
土肥 星也,左,千葉ロッテマリーンズ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永野 将司,左,千葉ロッテマリーンズ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中村 奨吾,右,千葉ロッテマリーンズ,143,639,552,82,157,30,3,8,217,57,39,15,0,5,60,2,22,94,11,0.284,0.393,0.374
成田 翔,左,千葉ロッテマリーンズ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西野 勇士,右,千葉ロッテマリーンズ,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
根元 俊一,左,千葉ロッテマリーンズ,28,45,43,5,8,2,0,0,10,3,0,0,1,1,0,0,0,18,0,0.186,0.233,0.182
平沢 大河,左,千葉ロッテマリーンズ,112,353,291,40,62,15,2,5,96,32,8,2,8,3,48,0,3,82,1,0.213,0.33,0.328
福浦 和也,左,千葉ロッテマリーンズ,82,196,181,6,38,4,0,1,45,11,0,0,0,2,10,1,2,34,4,0.21,0.249,0.256
藤岡 裕大,左,千葉ロッテマリーンズ,143,611,535,58,123,15,5,5,163,42,14,13,26,1,44,1,5,97,9,0.23,0.305,0.294
二木 康太,右,千葉ロッテマリーンズ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボルシンガー,右,千葉ロッテマリーンズ,20,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
細谷 圭,右,千葉ロッテマリーンズ,21,27,22,4,4,1,0,0,5,1,1,0,1,0,4,0,0,3,0,0.182,0.227,0.308
益田 直也,右,千葉ロッテマリーンズ,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松永 昂大,左,千葉ロッテマリーンズ,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三木 亮,右,千葉ロッテマリーンズ,66,41,34,11,8,1,0,0,9,4,3,0,5,0,1,0,1,8,2,0.235,0.265,0.278
南 昌輝,右,千葉ロッテマリーンズ,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宗接 唯人,右,千葉ロッテマリーンズ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
安田 尚憲,左,千葉ロッテマリーンズ,17,60,53,3,8,3,0,1,14,7,0,0,0,0,7,0,0,20,0,0.151,0.264,0.25
山本 大貴,左,千葉ロッテマリーンズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉田 裕太,右,千葉ロッテマリーンズ,8,12,10,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0.1,0.1,0.182
李 杜軒,右,千葉ロッテマリーンズ,11,18,16,0,3,1,0,0,4,3,0,0,0,0,2,0,0,8,0,0.188,0.25,0.278
涌井 秀章,右,千葉ロッテマリーンズ,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
渡邉 啓太,右,千葉ロッテマリーンズ,6,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.25,0.25,0.4

